File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\CSC2024\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\xampp\htdocs\CSC2024\LocMetricsFunctions.html,1,1,0,0,0,0,0,0,0,0
C:\xampp\htdocs\CSC2024\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\xampp\htdocs\CSC2024\about.php,70,36,7,0,31,0,3,6,0,0
C:\xampp\htdocs\CSC2024\ask_FAQ.php,77,40,2,0,37,0,0,0,0,0
C:\xampp\htdocs\CSC2024\company_history.php,64,33,7,0,30,0,1,2,0,0
C:\xampp\htdocs\CSC2024\connect.php,17,12,9,1,5,0,0,0,0,0
C:\xampp\htdocs\CSC2024\contact.php,70,39,0,0,31,0,0,0,0,0
C:\xampp\htdocs\CSC2024\cust_charter.php,71,44,0,0,27,0,0,0,0,0
C:\xampp\htdocs\CSC2024\desktops.php,73,52,0,0,21,0,0,0,0,0
C:\xampp\htdocs\CSC2024\FAQ.php,46,26,0,0,20,0,0,0,0,0
C:\xampp\htdocs\CSC2024\faq_submitted.php,41,26,0,0,15,0,0,0,0,0
C:\xampp\htdocs\CSC2024\footer.php,63,22,2,0,41,0,0,0,0,0
C:\xampp\htdocs\CSC2024\header.php,24,16,0,0,8,0,0,0,0,0
C:\xampp\htdocs\CSC2024\index.php,78,40,9,0,37,0,1,2,0,0
C:\xampp\htdocs\CSC2024\individual_desktop.php,76,41,0,0,35,0,0,0,0,0
C:\xampp\htdocs\CSC2024\individual_laptop.php,82,41,0,0,41,0,0,0,0,0
C:\xampp\htdocs\CSC2024\laptops.php,74,52,0,0,22,0,0,0,0,0
C:\xampp\htdocs\CSC2024\login.php,59,34,0,0,25,0,0,0,0,0
C:\xampp\htdocs\CSC2024\menu.php,33,31,0,0,2,1,0,1,0,0
C:\xampp\htdocs\CSC2024\process_contact.php,68,42,2,0,26,0,0,0,0,0
C:\xampp\htdocs\CSC2024\process_login.php,91,45,13,1,42,0,4,13,0,0
C:\xampp\htdocs\CSC2024\resise_image.php,1264,378,303,125,20,55,866,4303,0,0
C:\xampp\htdocs\CSC2024\thanks_contact.php,68,42,2,0,26,0,0,0,0,0
C:\xampp\htdocs\CSC2024\Bits\index.html,60,40,0,0,20,0,0,0,0,0
C:\xampp\htdocs\CSC2024\Bits\styles\printgui.css,25,16,11,0,8,0,1,3,0,0
C:\xampp\htdocs\CSC2024\Bits\styles\ui.css,102,84,68,0,18,0,0,0,0,0
C:\xampp\htdocs\CSC2024\menu_source\index.html,29,29,0,0,0,1,0,1,0,0
C:\xampp\htdocs\CSC2024\menu_source\styles.css,144,140,114,0,2,2,2,8,0,1
C:\xampp\htdocs\CSC2024\script\resise_image.php,1264,378,303,125,20,55,866,4303,0,0
